Currencies,19-Jul-01,19-Jul-15,19-Jul-31,19-Aug-01,19-Aug-15,19-Aug-29,19-Sep-02,19-Sep-16,19-Sep-30,19-Oct-01,19-Oct-15,19-Oct-31
NOK,9.6848,9.6223,9.7778,9.812,10.0145,10.0365,9.9788,9.9043,9.8953,9.9463,10.0653,10.252
QAR,,,,,,,,,,,,
SGD,1.5359,1.5283,1.5261,1.5178,1.5483,1.5354,1.5253,1.5158,1.506,1.5108000000000001,1.5088,1.5173999999999999
JOD,,,,,,,,,,,,
DKK,7.4647,7.4669,7.4674,7.466,7.459,7.457,7.4563,7.467,7.4662,7.4655000000000005,7.4699,7.4708
MYR,4.6904,4.6299,4.6015,4.5734,4.6758,4.6696,4.6269,4.6088000000000005,4.5592,4.5712,4.6125,4.6607
ALL,,,,,,,,,,,,
HUF,322.9,325.66,326.48,326.55,326.2,330.26,331.34,331.92,334.83,334.79,332.38,328.7
HRK,7.397,7.3935,7.3823,7.383,7.3858,7.4035,7.4006,7.3945,7.411,7.4111,7.4353,7.4579
GBP,0.8971800000000001,0.89873,0.9162300000000001,0.9115000000000001,0.9186300000000001,0.9053100000000001,0.9082,0.8851,0.88573,0.8895500000000001,0.87058,0.86133
CHF,1.1141,1.1071,1.1041,1.0988,1.0863,1.088,1.0875,1.0932,1.0847,1.0906,1.0977000000000001,1.1007
RUB,71.4725,70.5998,70.8041,70.577,73.7771,73.675,73.2222,70.6403,70.7557,71.0815,70.9456,71.3639
BRL,4.3435,4.21,4.218,4.2223,4.4868,4.5908,4.5498,4.5138,4.5288,4.5384,4.5467,4.4514
CZK,25.478,25.569,25.658,25.742,25.876,25.853,25.919,25.882,25.816,25.74,25.82,25.509
EGP,,,,,,,,,,,,
IDR,16016.28,15712.0,15639.3,15623.97,15911.05,15718.92,15567.98,15487.52,15456.94,15505.67,15591.42,15701.5
TRY,6.4272,6.4258,6.161,6.1516,6.2316,6.4594000000000005,6.3762,6.3041,6.1491,6.1979,6.4678,6.3717
CAD,1.4866000000000001,1.4684,1.4662,1.4602,1.4841,1.4699,1.4632,1.4619,1.4426,1.4466,1.4562,1.4673
AED,,,,,,,,,,,,
CNY,7.7654,7.7484,7.6743,7.6177,7.8463,7.9081,7.8657,7.7957,7.7784,7.7903,7.7943,7.854
RSD,,,,,,,,,,,,
THB,34.771,34.816,34.273,34.099,34.403,33.886,33.6,33.672,33.315,33.43,33.434,33.668
ZAR,16.0216,15.6215,15.8634,15.9959,17.044,16.895,16.6827,16.1498,16.5576,16.67,16.359,16.912
ISC,,,,,,,,,,,,
ILS,4.0543,3.987,3.8951000000000002,3.8864,3.9237,3.8997,3.8793,3.9023,3.7877,3.7907,3.8784,3.9342
AUD,1.6226,1.6023,1.6175000000000002,1.6135000000000002,1.6442,1.6402,1.6338,1.6054,1.6126,1.6274000000000002,1.6293000000000002,1.6137000000000001
JPY,122.93,121.62,121.04,120.18,118.37,117.68,116.66,118.96,117.59,118.0,119.23,120.73
RON,4.7327,4.7333,4.7338000000000005,4.7322,4.7231000000000005,4.7271,4.7239,4.7348,4.7496,4.7511,4.7538,4.756
HKD,8.8639,8.8201,8.7289,8.6367,8.744,8.6876,8.6021,8.6266,8.5368,8.5449,8.6351,8.7401
MXN,21.7024,21.3466,21.2005,21.2057,21.8595,22.2046,22.0545,21.4298,21.4522,21.5587,21.1647,21.3265
MAD,,,,,,,,,,,,
BGN,1.9558,1.9558,1.9558,1.9558,1.9558,1.9558,1.9558,1.9558,1.9558,1.9558,1.9558,1.9558
PLN,4.2427,4.2622,4.2912,4.2979,4.3878,4.3809000000000005,4.3691,4.3241,4.3782,4.3774,4.2956,4.2581
USD,1.1349,1.1269,1.1151,1.1037,1.115,1.1072,1.0968,1.1031,1.0889,1.0898,1.1007,1.1154
SEK,10.545,10.5563,10.6645,10.6868,10.7305,10.779,10.747,10.6703,10.6958,10.8043,10.8225,10.7498
UAH,,,,,,,,,,,,
